date,Account,daily_pnl,num_trades,avg_trade_size,total_volume,wins,losses,pnl_events,long_volume,short_volume,win_rate,long_short_ratio,sentiment_value,sentiment_class
2023-03-28,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,3,159.0,477.0,0,0,0,0.0,0.0,,,59,Greed
2023-11-14,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,2,23066.935,46133.87,0,0,0,0.0,0.0,,,69,Greed
2023-11-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,155.50335699999994,1043,11034.799511025887,11509295.89,287,196,483,0.0,0.0,0.5942028985507246,,69,Greed
2024-03-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-5564.01614,27,3048.5944444444444,82312.05,9,13,22,0.0,91.08,0.4090909090909091,0.0,84,Extreme Greed
2024-03-09,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,88,1136.3127272727272,99995.52,0,0,0,99995.52,0.0,,,84,Extreme Greed
2024-03-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-7919.471032000002,730,6219.798493150685,4540452.9,224,39,263,0.0,0.0,0.8517110266159695,,84,Extreme Greed
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,187842.08419,3041,3677.8091055573827,11184217.49,2506,108,2614,0.0,1676.03,0.9586840091813313,0.0,84,Extreme Greed
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2606.8947559999997,3076,7639.724411573472,23499792.29,673,760,1433,0.0,31177.15,0.4696441032798325,0.0,84,Extreme Greed
2024-07-03,0x271b280974205ca63b716753467d5a371de622ab,-1.0,5,6070.2,30351.0,0,2,2,0.0,0.0,0.0,,50,Neutral
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,215.754798,80,767.24775,61379.82,8,13,21,60981.3,394.3,0.38095238095238093,154.65711387268578,50,Neutral
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,145563.448374,249,1759.9534939759035,438228.42,237,0,237,0.0,0.0,1.0,,50,Neutral
2024-07-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-25991.506339,1309,10190.317929717341,13339126.17,434,63,497,0.0,0.0,0.8732394366197183,,50,Neutral
2024-07-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,0.16271999999999998,6,34.916666666666664,209.5,1,2,3,0.0,0.0,0.3333333333333333,,50,Neutral
2024-07-03,0x8477e447846c758f5a675856001ea72298fd9cb5,-9125.157325,3810,772.3728871391077,2942740.7,1240,430,1670,0.0,0.0,0.7425149700598802,,50,Neutral
2024-07-03,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-14505.50575,39,7877.326666666667,307215.74,0,6,6,21706.98,670.97,0.0,32.35164016274945,50,Neutral
2024-07-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,62586.1816,1643,2875.2178940961658,4723983.0,345,31,376,74026.12,51546.17,0.9175531914893617,1.4361129061577222,50,Neutral
2024-10-27,0x083384f897ee0f19899168e3b1bec365f52a9012,-327505.900056,462,14810.891818181817,6842632.02,12,127,139,0.0,0.0,0.08633093525179857,,74,Greed
2024-10-27,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,20607.446093000002,320,2492.74990625,797679.97,170,0,170,199903.8,256035.09,1.0,0.7807671987460781,74,Greed
2024-10-27,0x271b280974205ca63b716753467d5a371de622ab,1793.1602149999999,5,31941.660000000003,159708.30000000002,4,0,4,0.0,1584.35,1.0,0.0,74,Greed
2024-10-27,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,121880.386016,6472,483.5901143386898,3129795.22,2872,590,3462,101516.74,197187.86,0.829578278451762,0.5148224642226962,74,Greed
2024-10-27,0x2c229d22b100a7beb69122eed721cee9b24011dd,52215.729448,763,2941.8256880733943,2244613.0,362,96,458,0.0,0.0,0.7903930131004366,,74,Greed
2024-10-27,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,36993.371011,156,2583.170064102564,402974.52999999997,73,3,76,301482.23,101491.39,0.9605263157894737,2.9705202579253274,74,Greed
